Wall time,Step,Value
1512893365.427344,24,100.0
1512893369.6851137,56,-1.0
1512893370.0704896,59,-2.0
1512893393.140769,215,14.0
1512893419.0604334,402,98.0
1512893464.0114148,588,-1.0
1512893556.801395,904,-21.0
1512893579.461233,1008,-1.0
1512893610.7326267,1090,-1.0
1512893635.3983731,1210,-1.0
1512893653.35877,1279,92.0
1512893792.1751697,1742,-95.0
1512893797.48108,1782,-4.0
1512893797.8201842,1785,0.0
1512893870.75016,2025,-15.0
1512893891.2760775,2111,-97.0
1512893955.1779327,2312,-38.0
1512894030.4904497,2594,0.0
1512894067.7632005,2739,-36.0
1512894104.8943064,2865,-1.0
1512894106.3520303,2876,76.0
1512894191.5441847,3172,-1.0
1512894225.7347746,3274,-4.0
1512894231.4889233,3318,22.0
1512894231.636322,3319,-41.0
1512894316.7305217,3619,74.0
1512894354.322472,3743,1.0
1512894354.4420896,3744,-1.0
1512894355.457671,3752,-1.0
1512894357.5729764,3768,-1.0
1512894389.7787213,3847,2.0
1512894428.082099,3999,-13.0
1512894430.9543781,4020,-88.0
1512894608.818043,4640,1.0
1512894721.9982102,5053,1.0
1512894840.9841018,5455,1.0
1512894882.6101456,5596,1.0
1512894932.9965706,5773,-1.0
1512895051.5471067,6205,4.0
1512895087.1096506,6333,1.0
1512895140.2680783,6527,-5.0
1512895243.341599,6875,-2.0
1512895280.034923,7009,-30.0
1512895333.589563,7183,17.0
1512895339.9061685,7229,-85.0
1512895374.520209,7349,80.0
1512895481.1515777,7719,2.0
1512895514.0227826,7820,27.0
1512895627.989911,8218,-52.0
1512895665.5081837,8358,12.0
1512895678.9382856,8390,-1.0
1512895679.959083,8397,-73.0
1512895701.2000363,8485,-10.0
1512895825.4735734,8910,-1.0
1512895956.535829,9384,-79.0
1512895957.0976021,9388,6.0
1512895995.4682636,9523,-7.0
1512896007.1118424,9542,-1.0
1512896028.5888143,9633,-1.0
1512896030.5227997,9647,-9.0
1512896083.865959,9835,-1.0
1512896084.3075817,9838,-8.0
1512896117.4729803,9951,-1.0
1512896154.353323,10072,-64.0
1512896194.4672692,10214,-52.0
1512896231.2984421,10327,-4.0
1512896234.222134,10340,-1.0
1512896251.553497,10379,-5.0
1512896306.9811914,10562,-1.0
1512896311.2618666,10593,-2.0
1512896332.4880407,10682,15.0
1512896367.6718082,10807,9.0
1512896381.127603,10840,-10.0
1512896382.959416,10853,-38.0
1512896404.0261762,10934,-21.0
1512896420.2236118,10983,-1.0
1512896422.5035765,11002,-46.0
1512896433.8261673,11019,28.0
1512896441.2260559,11071,-33.0
1512896490.4370122,11216,-37.0
1512896493.9156766,11240,-27.0
1512896495.3081005,11250,-17.0
1512896547.7522523,11422,-11.0
1512896638.3968525,11721,-1.0
1512896735.6957893,12092,-1.0
1512896745.9428904,12101,1.0
1512896789.5638626,12282,-6.0
1512896789.7107244,12283,-12.0
1512896802.0220697,12305,-13.0
1512896827.7792401,12410,-28.0
1512896862.389798,12499,-63.0
1512896863.934538,12512,-1.0
1512896883.6652558,12597,19.0
1512896894.4899216,12611,1.0
1512897000.1889114,12997,-31.0
1512897024.2519228,13108,-1.0
1512897042.6891787,13178,-5.0
1512897079.646265,13308,-1.0
1512897092.5263855,13318,-19.0
1512897184.7565687,13659,35.0
1512897206.8461895,13757,-1.0
1512897258.456437,13912,-1.0
1512897330.2295194,14151,2.0
1512897355.292944,14260,-1.0
1512897374.4767063,14332,11.0
1512897427.4544535,14488,-11.0
1512897428.4684541,14495,54.0
1512897429.8895524,14505,-2.0
1512897444.8179,14546,-11.0
1512897466.7559361,14635,19.0
1512897503.7218995,14770,3.0
1512897520.4502707,14829,17.0
1512897552.8140664,14929,-17.0
1512897553.339455,14933,-85.0
1512897575.5670133,15029,-2.0
1512897604.1332726,15104,2.0
1512897611.4373105,15162,-16.0
1512897621.5663447,15169,-22.0
1512897623.3149722,15182,-1.0
1512897643.5567696,15250,-1.0
1512897659.7918227,15304,20.0
1512897713.1569662,15495,7.0
1512897714.0874107,15502,-1.0
1512897754.820951,15636,-1.0
1512897758.0354116,15661,-7.0
1512897809.211546,15830,-1.0
1512897825.1311963,15881,-1.0
1512897882.592029,16097,5.0
1512897918.8465886,16217,-1.0
1512898011.2074869,16547,-2.0
1512898033.0574143,16638,17.0
1512898084.7025497,16796,6.0
1512898102.91074,16860,47.0
1512898264.6751387,17438,8.0
1512898268.1383364,17463,2.0
1512898301.9888296,17557,-2.0
1512898302.835887,17563,7.0
1512898303.8393576,17571,2.0
1512898339.853797,17690,8.0
1512898361.7739763,17778,-13.0
1512898431.2673955,18015,-2.0
1512898449.4000347,18074,-1.0
1512898526.0867467,18317,-2.0
1512898600.3773324,18595,-9.0
1512898817.901172,19378,-1.0
1512898837.8813872,19455,-43.0
1512898854.5372906,19507,7.0
1512898854.825777,19509,-22.0
1512898927.8965468,19733,9.0
1512898943.683379,19779,-2.0
1512898950.478201,19827,0.0
1512898968.3396258,19888,38.0
1512898969.9710684,19899,13.0
1512899005.7507067,20027,12.0
1512899096.6232588,20326,35.0
1512899170.2103348,20592,30.0
1512899199.950921,20672,100.0
1512899226.4638226,20785,-13.0
1512899297.33087,21043,-21.0
1512899369.2668297,21292,6.0
1512899478.1648636,21658,-8.0
1512899590.6102083,22078,8.0
1512899691.589415,22402,100.0
1512899693.368425,22416,0.0
1512899694.5107157,22426,-1.0
1512899733.560844,22544,55.0
1512899734.8317115,22553,12.0
1512899774.8633444,22700,0.0
1512899789.4535136,22736,-1.0
1512899794.7872622,22772,-12.0
1512899847.3253224,22945,2.0
1512900028.1525922,23556,-1.0
1512900053.45739,23672,6.0
1512900140.9884853,23970,-1.0
1512900201.2690506,24186,-6.0
1512900230.603182,24265,2.0
1512900303.581685,24535,-10.0
1512900308.852344,24573,-2.0
1512900319.710753,24586,-1.0
1512900391.074678,24836,6.0
1512900426.4883275,24965,1.0
1512900577.9014773,25521,12.0
1512900641.7635238,25733,-28.0
1512900728.9230971,26062,3.0
1512900822.4411857,26351,-2.0
1512900855.1582122,26456,-1.0
1512900982.9411354,26921,-1.0
1512901020.6558108,27038,-9.0
1512901023.9654825,27061,2.0
1512901056.4410038,27164,-1.0
1512901182.7612655,27640,21.0
1512901211.2589371,27721,47.0
1512901383.1082702,28343,0.0
1512901453.0099454,28574,-6.0
1512901524.5886238,28822,92.0
1512901565.2069297,28961,2.0
1512901640.3042696,29235,9.0
1512901694.5564585,29391,2.0
1512901714.34824,29472,-1.0
1512901733.3824384,29544,-1.0
1512901819.2363873,29845,-14.0
1512901858.5629153,29996,-8.0
1512901859.9148803,30006,-1.0
1512901913.5435524,30172,-8.0
1512901931.797319,30240,16.0
1512901946.1518033,30276,-1.0
1512901951.0307796,30312,35.0
1512901988.0728543,30449,-22.0
1512901989.2709582,30458,46.0
1512902039.8955612,30622,-1.0
1512902108.0630953,30860,6.0
1512902199.5606582,31152,43.0
1512902216.0495152,31204,21.0
1512902218.7162437,31223,2.0
1512902249.442224,31308,-6.0
1512902252.3164978,31328,6.0
1512902347.0851994,31670,-1.0
1512902414.099044,31888,-1.0
1512902435.1251771,31974,6.0
1512902531.185493,32319,0.0
1512902546.5226474,32361,9.0
1512902648.607497,32705,-1.0
1512902742.2388246,33044,-1.0
1512902759.4186528,33101,2.0
1512902762.9420273,33127,0.0
1512902777.8709714,33167,-2.0
1512902817.4280963,33320,-1.0
1512902820.3410537,33341,-9.0
1512902871.847339,33459,-29.0
1512902923.7098432,33635,2.0
1512902999.7951038,33912,8.0
1512903033.192688,34023,2.0
1512903100.1477773,34243,-2.0
1512903120.7990382,34331,-2.0
1512903124.4293215,34351,-2.0
1512903255.0393193,34717,-2.0
1512903382.6011174,35163,9.0
1512903397.7284715,35207,2.0
1512903418.7571383,35293,-9.0
1512903421.140299,35310,66.0
1512903436.0757916,35353,-2.0
1512903438.104492,35368,-15.0
1512903453.188028,35415,-1.0
1512903510.9139626,35630,-27.0
1512903523.5597284,35654,6.0
1512903525.6119132,35669,2.0
1512903601.386006,35927,-2.0
1512903658.9013076,36152,-1.0
1512903659.803053,36159,-2.0
1512903722.6507125,36357,-2.0
1512903723.2970808,36362,-1.0
1512903728.049373,36398,-1.0
1512903775.2881792,36547,-2.0
1512903829.665499,36748,22.0
1512903836.409746,36797,1.0
1512903882.4554014,36936,-1.0
1512903911.6642327,37011,-2.0
1512903953.4705813,37179,9.0
1512903967.9831886,37218,-1.0
1512904129.171232,37781,9.0
1512904146.702688,37841,16.0
1512904207.5524132,38073,2.0
1512904223.8454337,38125,-1.0
1512904278.845716,38319,7.0
1512904373.75866,38562,15.0
1512904377.462763,38589,-14.0
1512904449.362756,38838,8.0
1512904575.9931962,39290,-23.0
1512904589.9343274,39324,-83.0
1512904605.5608356,39373,-2.0
1512904625.6458418,39456,-1.0
1512904627.9940915,39474,-1.0
1512904646.579577,39545,-2.0
1512904675.665004,39626,-6.0
1512904737.3454294,39791,2.0
1512904737.7265692,39794,-1.0
1512904769.042187,39888,-1.0
1512904769.1978228,39889,28.0
1512904846.9905827,40181,5.0
1512904894.836925,40322,8.0
1512904896.1343253,40331,-2.0
1512904986.8288865,40644,-1.0
1512905028.1248562,40813,9.0
1512905041.769061,40843,22.0
1512905081.7036421,40997,9.0
1512905082.4020183,41002,-6.0
1512905097.7515898,41044,0.0
1512905203.6640973,41309,-2.0
1512905226.2381458,41401,9.0
1512905260.672951,41520,11.0
1512905290.6353347,41605,-2.0
1512905422.2565842,42050,1.0
1512905497.7625437,42327,1.0
1512905535.0935519,42466,-1.0
1512905553.7453709,42532,-1.0
1512905587.5427706,42646,-1.0
1512905682.0427713,43004,-1.0
1512905757.7984505,43171,-2.0
1512905760.9905758,43195,2.0
1512905847.60515,43481,2.0
1512905849.0179386,43491,9.0
1512905865.646467,43544,15.0
1512905881.976012,43595,-2.0
1512905885.302929,43619,-2.0
1512905887.1181026,43632,-1.0
1512905937.699245,43796,-1.0
1512905938.96281,43805,-2.0
1512905940.1946409,43814,0.0
1512905972.3743942,43915,-2.0
1512905990.311627,43977,-2.0
1512905996.0474923,44019,-2.0
1512906007.6813211,44036,8.0
1512906030.5344832,44133,9.0
1512906046.1009095,44178,-1.0
1512906104.2080984,44391,-7.0
1512906106.0621507,44404,8.0
1512906181.0176544,44573,-12.0
1512906215.9722002,44692,-1.0
1512906237.4247067,44778,6.0
1512906309.6212947,45027,22.0
1512906381.8447614,45279,13.0
1512906397.6626773,45327,2.0
1512906420.676971,45428,-1.0
1512906436.9880357,45479,2.0
1512906491.0499997,45672,-1.0
1512906491.1957834,45673,0.0
1512906720.7944067,46395,2.0
1512906751.340508,46483,2.0
1512906789.51731,46631,-2.0
1512906880.6940114,46954,-1.0
1512906932.6286542,47123,-2.0
1512906935.3184302,47142,-1.0
1512906967.6814528,47239,-5.0
1512907096.9923637,47626,-32.0
1512907316.314076,48422,-6.0
1512907370.0410783,48616,-8.0
1512907385.0774686,48658,-62.0
1512907388.2943554,48681,2.0
1512907390.6110337,48698,-6.0
1512907425.2853265,48817,-1.0
1512907500.0985932,49072,8.0
1512907517.1039739,49127,9.0
1512907530.6973326,49159,9.0
1512907566.040372,49283,-2.0
1512907585.2978911,49357,2.0
1512907624.890701,49510,-1.0
1512907641.682038,49563,-5.0
1512907757.5351777,49811,-2.0
1512907777.9447007,49894,-1.0
1512907795.4998655,49950,-1.0
1512907815.4443765,50030,-1.0
1512907833.1072838,50094,-1.0
1512907848.2009227,50138,-1.0
1512907848.3450892,50139,9.0
1512907851.1540236,50160,-1.0
1512907864.0969653,50187,2.0
1512907961.3915157,50557,0.0
1512907994.811871,50666,1.0
1512908010.7534835,50715,-2.0
1512908027.408252,50768,6.0
1512908103.2709877,51054,-6.0
1512908104.9699445,51065,2.0
1512908176.0701797,51296,12.0
1512908190.95193,51335,2.0
1512908194.0490441,51360,-1.0
1512908269.4523537,51627,-2.0
1512908301.3027706,51718,-6.0
1512908389.3585954,51911,2.0
1512908553.4920442,52475,-12.0
1512908569.0777395,52520,-1.0
1512908672.3416317,52864,-11.0
1512908711.096907,53013,1.0
1512908728.3692086,53070,-1.0
1512908789.6429102,53301,13.0
1512908808.1586592,53368,-1.0
1512908825.613317,53427,9.0
1512908857.9786496,53529,2.0
1512908892.9082036,53651,-2.0
1512908908.8198683,53700,-1.0
1512908930.5978422,53792,-73.0
1512908931.4186542,53798,-1.0
1512908932.9224558,53809,-2.0
1512908984.8280857,53986,12.0
1512909002.0180113,54043,-2.0
1512909037.8565056,54165,9.0
1512909124.1651442,54320,-1.0
1512909161.4470677,54449,-94.0
1512909269.1943257,54800,-1.0
1512909304.2132237,54920,12.0
1512909306.5498843,54937,2.0
1512909328.8340895,55033,-2.0
1512909465.8462281,55492,-1.0
1512909487.6740448,55583,2.0
1512909542.5860293,55779,-2.0
1512909662.7930036,56072,12.0
1512909669.5229802,56121,2.0
1512909686.291323,56172,-6.0
1512909831.7575896,56674,-1.0
1512909833.376323,56686,-1.0
1512909834.395586,56694,-15.0
1512909868.0207708,56800,95.0
1512909887.9555542,56877,2.0
1512909923.849724,57006,-1.0
1512909961.2610877,57150,45.0
1512909993.9295845,57253,-2.0
1512910031.1753712,57397,-2.0
1512910067.5531778,57528,-1.0
1512910119.9832833,57715,2.0
1512910169.4903564,57748,8.0
1512910186.0504892,57802,-1.0
1512910222.3914137,57933,-2.0
1512910244.0049682,58024,15.0
1512910259.5393455,58069,-2.0
1512910294.730251,58188,-1.0
1512910315.482671,58270,-8.0
1512910315.7449827,58272,-1.0
1512910406.0496962,58592,8.0
1512910457.835977,58776,60.0
1512910491.0602722,58885,2.0
1512910493.77383,58905,24.0
1512910532.1823049,59056,-1.0
1512910533.6495423,59067,2.0
1512910654.3607104,59488,-8.0
1512910669.3231814,59531,-2.0
1512910688.5974998,59606,-1.0
1512910757.5742245,59840,15.0
1512910775.2981493,59905,1.0
1512910869.8955863,60130,0.0
1512910908.79233,60281,0.0
1512910939.7071066,60370,-1.0
1512910989.0423946,60519,-2.0
1512911002.7042258,60551,2.0
1512911132.987139,61037,-2.0
1512911146.5427566,61069,0.0
1512911216.7056787,61316,-1.0
1512911349.644791,61821,12.0
1512911363.1628957,61850,12.0
1512911379.6671937,61901,90.0
1512911385.1676672,61943,-2.0
1512911399.33259,61978,-47.0
1512911474.5051253,62252,5.0
1512911486.9559467,62274,12.0
1512911491.5059578,62306,12.0
1512911530.7976017,62454,-12.0
1512911543.967381,62480,0.0
1512911615.2753847,62575,2.0
1512911665.2998364,62725,-2.0
1512911669.5271378,62757,2.0
1512911722.3357892,62937,2.0
1512911756.8378084,63052,12.0
1512911761.6087894,63088,-1.0
1512911798.5675983,63220,12.0
1512911830.839055,63317,-2.0
1512911847.3489811,63366,6.0
1512911887.9027684,63524,-8.0
1512911996.843942,63889,0.0
1512912016.1511133,63958,-6.0
1512912033.220562,64012,6.0
1512912037.6280537,64046,-1.0
1512912217.7836776,64450,1.0
1512912275.3592105,64664,-1.0
1512912293.3569145,64727,2.0
1512912348.6206923,64928,-1.0
1512912349.5592692,64935,-33.0
1512912404.5012639,65125,40.0
1512912406.8984485,65144,1.0
1512912407.120123,65146,-1.0
1512912460.5458436,65334,-1.0
1512912548.8354852,65636,-1.0
1512912562.8649669,65671,-2.0
1512912655.391391,66006,-8.0
1512912670.7458577,66050,-1.0
1512912731.0486646,66288,-12.0
1512912782.113694,66457,-1.0
1512912801.9632955,66533,2.0
1512912821.386002,66604,-1.0
1512912908.1759055,66775,2.0
1512912926.1445484,66837,1.0
1512912959.8635647,66944,-1.0
1512912998.7526982,67082,-8.0
1512913036.571272,67220,-1.0
1512913054.826948,67284,-1.0
1512913154.4313078,67587,-9.0
1512913209.1064036,67779,-2.0
1512913266.9826763,67995,2.0
1512913267.3767786,67998,6.0
1512913318.266602,68163,-2.0
1512913392.4323792,68436,-1.0
1512913394.2796974,68450,-1.0
1512913408.3512146,68485,9.0
1512913414.6175797,68532,-1.0
1512913499.2629879,68806,-1.0
1512913555.1978488,69011,2.0
